,Item,Brand,Usage,Gender,Model,Size,Sale_Until,Prize
7848,Shoes,Vanity Fair,Almost New,Women,Vanity Alberto Bramante-Gualtieri,44,20,23.282325913858788
18119,Shoes,Nautica,Very Used,Men,Nautica Stella Parmitano,45,20,6.015855890864373
18247,Shoes,DFDesigns,Used,Men,Pookies Arnulfo Fusani,38,20,9.638999965041876
13092,Shoes,Geoffrey Beene,Almost New,Men,Geoffrey Sante Garozzo-Cundari,37,20,15.842039143412725
3930,Shoes,NoeMie,Very Used,Women,NoeMie Patrizia Mazzanti,45,20,35.27495881930736
14430,Shoes,DREAMS,Used,Women,Dreams Germana Pace,44,20,10.216888859814093
21027,Shoes,Fame Fabrics,Very Used,Men,Unisex Marissa Ravaglioli,40,20,7.441619853672685
22247,Shoes,Polo Ralph Lauren,Used,Men,Ralph Tonino Zanazzo-Ossola,43,20,64.34009797229022
4340,Shoes,Adidas,New,Men,Allegra Gabriele Bernardi,39,20,10.16683984202504
15063,Shoes,American Apparel,Almost New,Women,American Rita Greggio,38,20,20.503999918699265
19304,Shoes,SmartWool,Used,Men,Smartwool Sophia Cavalcanti-Chiappetta,42,20,10.51863789661154
19177,Shoes,Marcoliani Milano,Almost New,Men,One Isabella Abba,41,20,14.152500014752148
15076,Shoes,Anna-Kaci,Used,Women,Anna-Kaci Severino Argentero,40,20,12.101764802782837
12723,Shoes,Billabong,Used,Men,Billabong Ninetta Carullo,44,20,25.16450144164584
11178,Shoes,Three Seasons Maternity,Used,Women,Three Mirco Gotti,43,20,19.19190009869635
3025,Shoes,LOTUSTRADERS,Very Used,Women,CHARCOAL Olga Donà,40,20,21.48208785904312
11179,Shoes,Three Seasons Maternity,New,Women,Three Germana Camilleri,41,20,21.212100109085448
12711,Shoes,Savane,Very Used,Men,Big Mercedes Vergerio,43,20,22.122477706221076
11401,Shoes,Calvin Klein,Used,Women,Calvin Salvi Gianvecchio,44,20,44.095588910415614
11405,Shoes,Calvin Klein,New,Women,Calvin Mirko Cassarà-Micheletti,40,20,55.573128847836074
15054,Shoes,American Apparel,New,Women,American Dott. Lina Falloppio,40,20,21.19450001465157
18296,Shoes,Robinson,Very Used,Men,Robinson Dott. Martino Anguillara,38,20,13.128192522271155
19579,Shoes,Ames,Very Used,Women,Ames Aria Antonacci,37,20,4.800454397763492
7890,Shoes,Wacoal,Used,Women,Wacoal Massimiliano Boldù,42,20,15.097499964758756
14443,Shoes,TrendsBlue,Almost New,Women,Elegant Michelotto Necci,39,20,4.7295464183028635
2078,Shoes,Hawke & Co,Almost New,Men,Hawke Lucio Gaito,41,20,8.52750001475215
4716,Shoes,District Threads,New,Women,District Daria Sagredo,43,20,13.007133944523506
9967,Shoes,MANGO,Almost New,Women,Mango Piergiorgio Panicucci,43,20,20.952761372550068
2878,Shoes,Adidas,Almost New,Women,Allegra Mauro Salieri,42,20,7.683457293766102
2238,Shoes,Gary Majdell Sport,Almost New,Men,Men's Camilla Verri,37,20,7.075687229633335
17116,Shoes,Bottoms Out,Very Used,Men,Bottoms Dott. Roman Franscini,38,20,11.077499957755212
21449,Shoes,DV by Dolce Vita,Very Used,Women,DV Marcello Abba,39,20,33.35155247767675
16640,Shoes,Alfred Dunner,Used,Women,Alfred Elisa Cafarchia-Barzini,37,20,8.146506371054747
11089,Shoes,QT,New,Women,QT Zaira Necci-Biagi,38,20,5.848456586443395
12680,Shoes,Adidas,Used,Men,Allegra Aurora Parpinel,44,20,6.879216060197555
26967,Shoes,Modus Vivendi,Used,Men,Modus Dolores Accardo,45,20,13.104000028967858
16813,Shoes,Lilly Pulitzer,Very Used,Women,Lilly Ermenegildo Monduzzi,38,20,30.53360615087043
24886,Shoes,DC,New,Men,DC Viridiana Strangio,39,20,15.859999984502792
13486,Shoes,Ralph Lauren,Very Used,Men,RLX Giuliana Dulbecco,40,20,32.539931167991305
24784,Shoes,Chestnut Hill,New,Women,Chestnut Luchino Blasi,38,20,24.925014774199447
11669,Shoes,DC,Very Used,Men,DC Dott. Eleanora Nitti,41,20,15.971257870373385
20167,Shoes,Ice,Almost New,Women,ICE Sig. Danilo Andreozzi,38,20,14.369870929374637
17562,Shoes,HUGO BOSS,Almost New,Men,HUGO Angelo Nitti,42,20,14.695424960833043
21191,Shoes,Banana Republic,New,Men,Banana Letizia Donà,44,20,26.764893650387943
17564,Shoes,Hanes,Used,Men,Hanes Sig. Delfino Sollima,37,20,7.805095381203114
7670,Shoes,Shaper Corset,Used,Women,Shaper Puccio Silvestri,45,20,32.105058917102
25958,Shoes,UltraClub,Almost New,Men,UltraClub Rembrandt Paoletti,44,20,24.610077753904047
7114,Shoes,PLATINUM INTIMATES,New,Women,Ladies Dott. Ludovico Forza,43,20,9.617789638302327
13788,Shoes,Bloomingdale's,Very Used,Women,Bloomingdale's Raimondo Pedroni-Cesarotti,42,20,30.24081803760824
9246,Shoes,Not Your Daughter's Jeans,Used,Women,Not Dott. Vittorio Sbarbaro,43,20,57.60040005594491
8970,Shoes,Levi's,Very Used,Men,Levi's Maria Almagià,41,20,39.293999953893945
14158,Shoes,Sutton Studio,Very Used,Women,Sutton Alessia Garozzo,45,20,25.217456317113392
769,Shoes,K. Alexander,Almost New,Men,NEW Cirillo Mantegna,39,20,3.402599913389981
16269,Shoes,Roxy,Almost New,Women,Roxy Benvenuto Fuseli,44,20,18.822770879447013
10563,Shoes,Adidas,New,Women,Allegra Nicola Cianciolo,37,20,7.4368802945789705
21328,Shoes,Chaps,Used,Men,Chaps Eliana Finzi,41,20,20.04169450516677
3376,Shoes,Anne Klein,Very Used,Women,AK Dott. Paoletta Lucchesi,38,20,47.13659994117917
21630,Shoes,Annabelle,Very Used,Women,Gray Sig. Ugolino Pozzecco,38,20,12.333080363318295
12092,Shoes,Prontomoda,Very Used,Men,Men's Maria Valmarana,43,20,55.33154914538449
14151,Shoes,Orvis,New,Women,Stretch Veronica Marazzi,40,20,35.95589987877756
17900,Shoes,Majestic International,Used,Men,Majestic Sig. Mirco Zanichelli,44,20,49.54587172554909
7097,Shoes,Everjune,Very Used,Women,Lace Vittorio Lattuada,44,20,19.70870035180375
7096,Shoes,Kiss,Almost New,Women,Lace Antonietta Sagese-Scarpa,45,20,9.463639382692945
4556,Shoes,Calvin Klein,Used,Men,Calvin Melissa Parini,44,20,27.554229850465717
6919,Shoes,Hanes,Almost New,Women,Hanes Pasqual Callegaro,41,20,6.16478415601699
1719,Shoes,Champion,New,Women,Champion Dott. Arturo Boiardo,43,20,16.324000135064125
4555,Shoes,Calvin Klein,Used,Men,Calvin Raffaele Pertile,40,20,27.554229850465717
17633,Shoes,Hatley,New,Women,Hatley Antonietta Stein,40,20,23.03716800470294
25926,Shoes,Neil Allyn,Used,Men,Tuxedo Livia Visintini,41,20,15.513497747487992
10639,Shoes,Bravado! Designs,Very Used,Women,Bravado Amalia Molesini,41,20,16.093000036664307
22415,Shoes,Nike,New,Men,Tommy Dott. Laura Lippomano,44,20,51.964499988500044
22585,Shoes,Wool Overs,New,Women,Womens Sig.ra Rita Scandone,43,20,19.87199995815754
6129,Shoes,Bali,Very Used,Women,Bali Sig.ra Amalia Cimini,37,20,9.567029879232194
25737,Shoes,RVCA,New,Men,RVCA Enzio Trussardi-Morosini,45,20,28.18799991309643
21172,Shoes,BB Dakota,Very Used,Women,BB Giulia Rossetti,44,20,54.35999991372228
16347,Shoes,Siwy,Very Used,Women,Siwy Sig.ra Gelsomina Soprano,41,20,69.00300019606948
17509,Shoes,HUGO BOSS,New,Men,HUGO Costanzo Travaglia,45,20,19.807479495994453
23916,Shoes,Hot from Hollywood,New,Women,Sexy Sig. Federigo Angeli,43,20,16.371901766606214
13699,Shoes,Alfred Dunner,Used,Women,Alfred Antonella Folliero,42,20,15.58430338827876
17968,Shoes,LabelShopper,New,Men,Mens Temistocle Mengolo,41,20,3.587408904797942
832,Shoes,Oakley,New,Men,Oakley Raffaele Vespucci,44,20,36.17999987443909
15613,Shoes,Hurley,New,Men,Hurley Giuseppina Conti,37,20,23.789700082316994
19895,Shoes,SK Hat shop,Very Used,Women,Ladies Luciana Magrassi-Badoglio,37,20,6.027839908660055
13712,Shoes,Alfred Dunner,Very Used,Women,Alfred Stefano Cammarata,38,20,17.075489876079597
9301,Shoes,PAIGE,Very Used,Women,PAIGE Angelina Sbarbaro,39,20,86.9891695057907
16336,Shoes,See Thru Soul,Almost New,Women,See Veronica Murialdo,40,20,12.943750042468311
7699,Shoes,Slim Me,Very Used,Women,Slim Giuliana Cafarchia,40,20,12.335999965667725
5887,Shoes,ililily,Used,Men,ililily Claudia Crespi,43,20,18.78088341453841
4212,Shoes,55DSL,Used,Women,55DSL Gian Pennetta-Cilibrasi,40,20,34.28999996278435
4421,Shoes,American Apparel,Very Used,Women,American Graziella Ferrari-Torlonia,41,20,24.768000036478043
6158,Shoes,Bali,Almost New,Women,Bali Fiorenzo Gioberti,39,20,18.912599978595974
4241,Shoes,Aeropostale,Used,Men,Aeropostale Gabriele Renier,37,20,18.428214922647232
21184,Shoes,Orvis,Almost New,Men,Badlands Ettore Pavanello,40,20,73.7550000999123
20169,Shoes,Ice,New,Women,ICE Martino Pace-Pugliese,39,20,9.21622541336295
25298,Shoes,Icebreaker,Used,Men,Icebreaker Giuseppina Staglieno,39,20,60.989999804645784
4209,Shoes,My1stwish,Very Used,Women,27M Dott. Piero Mercadante,40,20,9.854730359119811
24010,Shoes,Speedo,Almost New,Men,Speedo Uberto Tognazzi,45,20,36.017997179294845
13862,Shoes,Democracy,New,Women,Democracy Caterina Sforza-Sonnino,39,20,21.97695828211812
9281,Shoes,PAIGE,Very Used,Women,PAIGE Matteo Vidoni,40,20,96.17789985820421
12169,Shoes,Nautica,Used,Men,Nautica Elladio Opizzi,40,20,56.36792228654952
20176,Shoes,Ice,Almost New,Women,ICE Alberto Ludovisi,38,20,40.76073687938259
7696,Shoes,Ilusion,Almost New,Women,Skimpy Michele Pagnotto,44,20,9.754770751566904
10531,Shoes,A Pea in the Pod,Used,Women,A Tonia Taliercio-Gotti,44,20,21.161250062286854
26587,Shoes,Emporio Armani,Very Used,Men,Emporio Lidia Bompiani,41,20,12.646400002576412
22386,Shoes,Tommy Bahama,Used,Men,Tommy Vittorio Zetticci,41,20,42.55525005655363
811,Shoes,Shagwear,Used,Women,New Pierluigi Trentini,41,20,10.612003329223038
18000,Shoes,Bathrobes Online,Very Used,Men,Monk Olga Adinolfi,44,20,53.14094991702587
16018,Shoes,O'Neill,Very Used,Men,O'Neill Paolo Quasimodo,45,20,22.906350008770826
10650,Shoes,Condessa,Used,Women,Condessa Rosina Vergassola-Tagliafierro,41,20,16.78600004431792
23049,Shoes,Gottex,Almost New,Women,Gottex Costanzo Mazzi-Panatta,44,20,56.04480023682119
13968,Shoes,Jones New York,New,Women,Jones Dott. Pierangelo Vecellio,42,20,39.71664733003883
16161,Shoes,Quiksilver,Very Used,Men,Quiksilver Dott. Lucia Soranzo,40,20,24.012450035847724
9041,Shoes,Levi's,Used,Women,Levi's Damiano Niscoromni,43,20,24.533047956028465
17715,Shoes,Indera,New,Women,Indera Fulvio Fibonacci,39,20,3.988835920658648
11941,Shoes,Levi's,Used,Men,Levi's Ermanno Toninelli,43,20,37.40158905962062
16153,Shoes,Quiksilver,Very Used,Men,Quiksilver Manuel Baglioni,41,20,22.319550002116014
20080,Shoes,SK Hat shop,New,Women,Winter Jacopo Vittadello-Renier,44,20,7.597055276890545
14090,Shoes,Alex Evenings,Very Used,Women,Plus Gian Dossetti,37,20,44.52799992263317
7547,Shoes,Rago,Used,Women,Rago Mariana Pertini,39,20,19.538744594249987
24636,Shoes,Chestnut Hill,Used,Men,CH580 Paloma Pepe-Bottaro,43,20,33.5742018466567
27178,Shoes,Nike,Almost New,Men,Tommy Virgilio Versace,41,20,8.856000009924173
3701,Shoes,Hot from Hollywood,Almost New,Women,FITTED Giuliana Riccardi,40,20,20.762808833441703
21695,Shoes,J.C. Rags,New,Men,J.C. Antonella Natta,38,20,77.16690004561097
24293,Shoes,Aloha,Used,Women,Womens Goffredo Giusti,42,20,24.3551288990931
23015,Shoes,Fox,Used,Men,Fox Dott. Raffaellino Agostini,42,20,29.329492997286927
2414,Shoes,Royal Robbins,Used,Women,Royal Roberta Odescalchi,39,20,60.749009112028965
10739,Shoes,Juicy Couture,Almost New,Women,Juicy Bartolomeo Gianinazzi,39,20,41.61000011838041
18610,Shoes,Jockey,New,Men,Woven Patrizia Tebaldi,43,20,12.585599967837334
25830,Shoes,Pacific Legend,Very Used,Men,Surfing Alfredo Micheletti,37,20,24.21211534811318
24300,Shoes,MW,Used,Women,Womens Dott. Gaspare Ziani,39,20,19.617890342713107
14979,Shoes,Adidas,Very Used,Men,Allegra Diana Cundari,43,20,5.308740072690546
3326,Shoes,LOTUSTRADERS,Almost New,Women,GREY Ida Abba-Vergassola,37,20,34.127982801263805
23242,Shoes,Lacoste,Very Used,Men,Lacoste Simonetta Caccianemico,38,20,55.08000016212464
15396,Shoes,Ed Garments,Very Used,Men,Ed Manuel Bernini,38,20,16.61046582409259
16107,Shoes,Ralph Lauren,Used,Men,Polo Fernanda Abate,38,20,33.27660009507089
1847,Shoes,Cuddl Duds,Very Used,Women,Cuddl Lauretta Gulotta,41,20,12.939000103622677
17782,Shoes,Josie by Natori,Almost New,Women,Josie Lolita Gremese,42,20,43.4226000783965
25814,Shoes,Splendid,Very Used,Women,Splendid Lucia Vitturi,40,20,41.039999887347214
11846,Shoes,Kenneth Cole,Used,Men,Kenneth Greco Bellucci-Donatoni,43,20,44.78522469750068
22898,Shoes,Cloris Murphy,New,Women,Cloris Ippazio Petrucelli,39,20,10.143440935919074
17708,Shoes,Ilusion,Very Used,Women,Ilusion Dott. Adele Salata,45,20,12.000420481862427
25797,Shoes,Sons of Anarchy,Used,Men,Sons Rita Luzi,40,20,11.340242860732198
20082,Shoes,HUE,Very Used,Women,Women's Leonardo Mazzanti,44,20,1.7416349590418718
26645,Shoes,Jockey,Very Used,Men,Go Ronaldo Renault,38,20,9.539550013840199
2459,Shoes,Saucony,Almost New,Men,Saucony Aurora Morgagni,43,20,32.004000082612045
122,Shoes,DECKY,New,Men,Black Sig. Benito Falloppio,41,20,3.7203898997521407
14127,Shoes,Orvis,Used,Women,Scrunch Erika Polizzi,41,20,32.56799995340407
5505,Shoes,Retrofit,Used,Men,RetroFit Pasquale Polesel,42,20,11.176829775333479
10659,Shoes,likemary,New,Women,Cotton Piero Fogazzaro,45,20,17.03113542434169
13882,Shoes,Dockers,New,Women,Dockers Sig. Guarino Mocenigo,42,20,19.595100831387192
25776,Shoes,Seven7,Very Used,Women,Seven7 Lazzaro Chindamo,44,20,25.825799935846604
20650,Shoes,Orvis,New,Men,Lightweight Ermes Palumbo,38,20,106.47000001743437
14644,Shoes,Pashmina,Almost New,Women,Plain Giulietta Babbo,37,20,16.122213863624903
11774,Shoes,Hart Schaffner Marx,Almost New,Men,Hart Biagio Cavanna,45,20,75.62000042255968
18723,Shoes,Carhartt,Almost New,Men,Carhartt Michelotto Fermi-Caccianemico,41,20,7.887803176285074
13909,Shoes,Eileen Fisher,New,Women,Eileen Erika Barberini-Pacomio,38,20,47.30526778127548
1895,Shoes,Dickies,Almost New,Men,Dickies Claudia Procacci-Filippini,37,20,10.423475939330622
27121,Shoes,Jockey,Very Used,Men,Slim Pomponio Tonisto-Sordi,43,20,11.201399987842887
20592,Shoes,Jack Spade,Used,Men,Jack Stefani Semitecolo,43,20,81.49742047031583
717,Shoes,Maui Jim,New,Women,Maui Achille Gaito,38,20,69.14339949488638
2431,Shoes,Russell Athletic,Used,Men,Russell Dott. Susanna Balla,39,20,8.568636931676892
23940,Shoes,Speedo,Almost New,Women,Speedo Lucio Carocci,39,20,26.7401251401985
21731,Shoes,Jones New York,Very Used,Women,Jones Mario Interiano,40,20,27.763200044631958
15641,Shoes,IZOD,Very Used,Men,IZOD Panfilo Fornaciari,38,20,22.031999945640564
18588,Shoes,Guide Gear,Used,Women,Women's Giada Grasso,40,20,15.983170397546337
706,Shoes,Manzella,Used,Men,Manzella Goffredo Corcos,40,20,9.86829561829073
1738,Shoes,Champion,Very Used,Women,Champion Osvaldo Belletini,38,20,12.243713809269728
4537,Shoes,C1RCA,Very Used,Men,C1RCA Sig. Giampaolo Galilei,39,20,41.87790008443408
23707,Shoes,Quiksilver,Very Used,Men,Quiksilver Vincentio Panatta-Pontecorvo,45,20,37.35875008511357
12002,Shoes,London Fog,Used,Women,London Sig. Sante Trobbiani,41,20,74.21399990189819
14112,Shoes,Red Valentino,Almost New,Women,Red Azeglio Ritacca,43,20,108.21509990261403
14114,Shoes,Roxy,Very Used,Women,Roxy Ezio Garzoni,39,20,22.505175659226072
5066,Shoes,Joie,Almost New,Women,Joie Silvestro Bonolis,41,20,17.55221945325259
16197,Shoes,Ralph Lauren,Almost New,Women,Ralph Uberto Orlando,37,20,18.71413176531422
5940,Shoes,Fruit of the Loom,New,Women,3-pack Nicolò Vianello,37,20,7.840799987688661
15611,Shoes,Hurley,Almost New,Men,Hurley Ronaldo Gualandi,44,20,22.138200004189276
26795,Shoes,Harbor Bay,New,Men,Harbor Vincenza Giradello,43,20,9.446800030209126
7147,Shoes,Laura,Very Used,Women,Laura Dott. Raffaellino Boaga,44,20,16.804500381734222
21122,Shoes,Adidas,Used,Women,Allegra Dott. Donna Gianinazzi,38,20,12.025090128731847
20224,Shoes,Le Suit,Very Used,Women,Le Loredana Morricone,45,20,80.93582741839259
7758,Shoes,Under Armour,Almost New,Women,Under Gustavo Crespi,43,20,30.523230762010886
21876,Shoes,LabelShopper,New,Men,Mens Virgilio Pellegrini,41,20,9.932031387129001
18458,Shoes,The Cat's Pajamas,Used,Women,The Laura Travaglio-Vianello,42,20,32.86620008647442
18002,Shoes,Moon Dance,Very Used,Women,Moon Sig.ra Pina Casaleggio,37,20,16.222500018775467
5666,Shoes,Tommy Bahama,New,Men,Tommy Guido Rizzoli,43,20,67.84999998286368
21868,Shoes,Ralph Lauren,Very Used,Men,Men's Simone Mengolo,41,20,65.75625000623405
7170,Shoes,Laura,Very Used,Women,Laura Flora Micheletti,41,20,16.671645410221927
16431,Shoes,True Religion,Very Used,Women,True Ivo Righi,40,20,34.31959546564035
7168,Shoes,Laura,Used,Women,Laura Dante Vecoli,39,20,22.314600395168743
4956,Shoes,Hurley,New,Women,Hurley Mirco Fittipaldi,42,20,23.4300000499934
12315,Shoes,Sean John,New,Men,Sean Sig.ra Morena Cattaneo,43,20,16.8797797267153
5863,Shoes,Allen Allen,Almost New,Women,allen Ilaria Luria-Bonomo,44,20,16.990949613711983
1569,Shoes,Bear Grylls,Used,Men,Bear Dott. Amedeo Ferragamo,39,20,30.62456899831026
3786,Shoes,Fashion Victim,Very Used,Women,John Marcello Vecoli,38,20,25.00490152168446
13619,Shoes,Nike,Almost New,Men,Tommy Dott. Graziano Filogamo,37,20,14.33422755613786
26036,Shoes,Puma,Used,Men,Volcom Laureano Mondaini,44,20,26.596349961496895
27165,Shoes,Nike,Used,Men,Tommy Nedda Gravina,39,20,15.911999993026257
18018,Shoes,N2N,Very Used,Men,N2N Ignazio Cicala-Platini,40,20,16.156799912452698
8262,Shoes,Calvin Klein Jeans,Almost New,Women,Calvin Lilla Pacomio,43,20,20.19495080591291
6199,Shoes,Barely There,Very Used,Women,Barely Pierina Moneta-Coardi,41,20,18.044249945785854
17447,Shoes,Varsity,Used,Men,Fall Carlo Antonucci,45,20,4.339780407142051
23339,Shoes,Gary Majdell Sport,Very Used,Men,Mens Sig. Cesare Accardo,45,20,10.020970137951716
887,Shoes,Oakley,New,Women,Oakley Luciana Borsiere,38,20,72.02899977378547
10975,Shoes,Motherhood Maternity,Used,Women,Motherhood Angelo Saraceno,42,20,4.214762799831189
5236,Shoes,Wool Overs,Very Used,Men,Mens Niccolò Papafava-Terragni,40,20,25.95600003004074
9420,Shoes,Rock Revival,New,Men,Rock Gabriele Prati,37,20,71.39519991762936
25454,Shoes,Marc Ecko Cut & Sew,New,Men,Marc Renata Nibali,45,20,12.275234558415935
16473,Shoes,Puma,Almost New,Women,Volcom Fabio Antonucci,42,20,17.219925344927052
15367,Shoes,Levi's,New,Men,Dockers Loretta Ungaretti,45,20,12.182075701122521
25453,Shoes,Marc Ecko Cut & Sew,New,Men,Marc Dott. Severino Saracino,39,20,13.139999974519014
7443,Shoes,SEX NIGHT,Almost New,Women,One-piece Fabia Argento,45,20,11.411400001868605
24502,Shoes,Anna-Kaci,Almost New,Women,Anna-Kaci Giuliana Ferraris-Berlusconi,44,20,7.080479780359268
9460,Shoes,Scotch & Soda,Used,Men,Scotch Bianca Jacuzzi,43,20,67.99049996305257
14282,Shoes,BOOTIGHTS,New,Women,BOOTIGHTS Beatrice Tiepolo-Zampa,45,20,14.715000048279762
14824,Shoes,Luxury Divas,New,Women,White Eugenia Leblanc,39,20,7.238672896760469
11533,Shoes,Carhartt,Very Used,Women,Carhartt Teresa Tutino-Guicciardini,41,20,57.701383541664455
16467,Shoes,Puma,New,Men,Volcom Sophia Foà,45,20,31.129175411939435
17339,Shoes,CasualMale,Used,Men,Diamond Santino Tomasetti,41,20,9.854999938979745
3413,Shoes,Adidas,Used,Women,Allegra Dott. Luca Praga,38,20,4.073490038076639
21554,Shoes,Filson,Very Used,Men,Filson Marina Raimondi,37,20,65.85299993120134
11537,Shoes,Carhartt,New,Women,Carhartt Dott. Elisa Benussi,37,20,65.76556364058037
13537,Shoes,Savane,New,Men,Savane Carlo Ferrata,39,20,15.980004675542101
20241,Shoes,Nine West,New,Women,Nine Isabella Sobrero,37,20,49.651218590453986
5591,Shoes,Soybu,Used,Women,Soybu Luca Corbo,41,20,11.54250003397465
13542,Shoes,Savane,Almost New,Men,Savane Tonino Troisi,44,20,14.625820746178109
20236,Shoes,Nine West,Almost New,Women,Nine Dott. Paola Sommaruga,44,20,69.51419933943748
2291,Shoes,Moving Comfort,Used,Women,Moving Dina Turchi,45,20,13.770000072196126
8237,Shoes,Calvin Klein Jeans,New,Men,Calvin Antonietta Montanari,38,20,24.817657325769517
22820,Shoes,Body Glove,Very Used,Men,Body Sig.ra Claudia Santorio,38,20,19.34152504890226
22340,Shoes,Spring+Mercer,New,Men,Spring+Mercer Bianca Endrizzi,45,20,31.122000011731874
2596,Shoes,Timberland,Almost New,Men,Timberland Eva Correr,43,20,5.019300016388297
2294,Shoes,Moving Comfort,Almost New,Women,Moving Nina Morabito,42,20,19.0944000788033
20751,Shoes,Caravelli,Almost New,Men,Men's Costantino Pacillo,45,20,44.967503420587356
15141,Shoes,Burnside,Very Used,Men,Burnside Dina Caccianemico,42,20,15.560999938845635
22157,Shoes,eVogues Apparel,New,Women,Plus Piersanti Alfonsi,42,20,9.296272390010264
3775,Shoes,Jessica Howard,Very Used,Women,Jessica Diana Guarana,39,20,43.01569709172141
23903,Shoes,Seafolly,Almost New,Women,Seafolly Sig.ra Susanna Gianvecchio,38,20,54.8568003281951
8492,Shoes,Earnest Sewn,Used,Men,EARNEST Eleanora Morandini,40,20,74.21043738804289
11601,Shoes,Columbia,Very Used,Men,Columbia Marco Mezzetta,40,20,121.46400019526482
5882,Shoes,ililily,Used,Men,ililily Fabrizia Spinelli-Zanzi,43,20,9.615490384819108
19873,Shoes,Dance 4 Less,New,Women,Knit Ludovico Carducci,44,20,3.1880098939722035
5545,Shoes,Roxy,Almost New,Women,Roxy Evangelista Cociarelli,43,20,17.141481280401425
25257,Shoes,Hurley,New,Men,Hurley Puccio Fantoni,41,20,12.435499975085259
2543,Shoes,Sport-Tek,Used,Women,Sport-Tek Napoleone Tacchini,42,20,15.51327294180733
8271,Shoes,Calvin Klein Jeans,New,Women,Calvin Pierangelo Dulbecco,45,20,22.57694004826381
13677,Shoes,prAna,Very Used,Men,prAna Giancarlo Zamorani,42,20,41.04000003822148
8911,Shoes,Levi's,Very Used,Women,Levi's Eva Dellucci,40,20,17.995500755310058
24018,Shoes,Speedo,Almost New,Men,Speedo Luciano Parpinel,40,20,25.490400016307834
4522,Shoes,Buffalo by David Bitton,Very Used,Men,Buffalo Griselda Aldobrandi,37,21,36.94950015731156
11983,Shoes,London Fog,Very Used,Men,London Clelia Iacovelli,41,21,38.2850000821054
2885,Shoes,Adidas,Very Used,Women,Allegra Baccio Carducci-Randazzo,44,21,4.619538134540141
7774,Shoes,Underworks,Used,Women,Underworks Paoletta Antonacci,39,21,10.570801878162241
12645,Shoes,Adidas,Almost New,Men,Allegra Beatrice Pagliaro,38,21,5.114178056708051
15007,Shoes,Adidas,Very Used,Women,Allegra Amalia Trevisani,39,21,5.4838981020911115
21894,Shoes,Wool Overs,Used,Men,Mens Paoletta Tolentino-Pedroni,42,21,21.90825000610203
1515,Shoes,ASICS,Very Used,Men,ASICS Gemma Baggio,40,21,12.992199550748987
10522,Shoes,A Pea in the Pod,Almost New,Women,A Azeglio Maderna-Curatoli,41,21,28.6790000461042
2191,Shoes,LRG,Almost New,Men,LRG Adriana Raurica,43,21,2.130000009201467
23602,Shoes,Beach Joy,Used,Women,Purple Marcello Filangieri,45,21,15.912000060081482
1478,Shoes,2XU,New,Men,2XU Dott. Sandra Lanfranchi,44,21,36.31391910439163
23943,Shoes,Speedo,New,Women,Speedo Giuliana Dibiasi,40,21,30.627606293206917
11953,Shoes,Levi's,Very Used,Men,Levi's Sophia Boitani-Staglieno,38,21,34.271714682113874
1254,Shoes,The North Face,Used,Men,The Alessandra Celentano,38,21,14.693805259894656
11435,Shoes,Carhartt,Very Used,Men,Carhartt Alberico Mazzocchi,45,21,90.41619850773662
18683,Shoes,TheTieBar,New,Men,Black Dott. Iolanda Bragaglia,42,21,5.252407376138697
11966,Shoes,Levi's,New,Women,Levi's Roman Camilleri,39,21,14.01978634992818
15454,Shoes,Fox,Almost New,Men,Fox Ivo Marzorati,40,21,23.236050023697317
22134,Shoes,Perry Ellis,New,Men,Perry Dott. Annamaria Pincherle,41,21,24.719759318984444
212,Shoes,Carrera,Used,Women,Carrera Alfio Malenchini-Pizziol,39,21,29.72483879851554
7689,Shoes,The Hong Kong Silk Co.,Used,Women,Silk Guido Bettoni,40,21,32.507339443183675
15425,Shoes,Ella Moss,Almost New,Women,Ella Luisa Mortati,45,21,10.889999982900918
4592,Shoes,Football Fanatics,New,Men,Chevrolet Liana Monte,42,21,27.368835386275464
3958,Shoes,Patty,Almost New,Women,Patty Adelasia Capone,38,21,22.333895791011397
20965,Shoes,Nike,Used,Men,Tommy Francesca Cuda,45,21,80.22952979879149
19289,Shoes,Seal Skinz,New,Men,SealSkinz Dina Bianchi,41,21,22.158300600361827
12915,Shoes,Dockers,Almost New,Men,Dockers Berenice Grasso,37,21,19.99350117554878
19294,Shoes,SmartWool,New,Men,Smartwool Nicola Cabrini-Ammaniti,39,21,12.451356434772404
15075,Shoes,Anna-Kaci,Very Used,Women,Anna-Kaci Dina Piccio,38,21,10.970099820097534
2364,Shoes,Pearl iZUMi,New,Men,Pearl Sig. Mirco Mazzacurati,43,21,20.16984052843213
10830,Shoes,Maternal America,Almost New,Women,Maternal Sig. Ermenegildo Bianchini,43,21,30.31609760826016
7368,Shoes,Natori,New,Women,Natori Germana Cignaroli,41,21,21.168000009655955
1393,Shoes,Wayfayrer,Almost New,Men,Wayfarer Tatiana Casini,45,21,0.5756999981473201
7131,Shoes,Bajer,Used,Women,Large Geronimo Cociarelli-Bellocchio,44,21,2.4450998889632523
17674,Shoes,HUE,New,Women,Hue Rosa Schiavone,43,21,21.096000038087368
22904,Shoes,Cloris Murphy,Almost New,Women,Cloris Letizia Schiavo,45,21,11.75607993798524
10296,Shoes,Ozone,Almost New,Women,Ozone Ruggiero Nitti-Zichichi,37,21,19.8787500334438
25171,Shoes,Hanes,Almost New,Men,HANES Mirco Tosi,42,21,11.454344650207759
